2
aaaaaaaaaaaaaaaaaaaaaaaaabccccccccccccccccccccccccccdeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee
(a,1)
(aa,11)
(aaa,111)
(aabcc,11111111111111111111111111111111)
(abc,1111)
(abc,111)
(c,1)
(cc,11)
(aaabccc,11111111111111111111111111111111111111)
(cde,1)
(ccdee,111111111111111111111111111111)
(e,1)
(ee,11)
(eee,111)
(eeee,1111)
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
(a,111111111111)
(aa,11111111111111111)
(aaaaaaaaaa,111111)
(aaaaaaaaaaaa,1111111)
