2
lkjfsahgaajgfjgdfjakyutersdfbvdmfbgakjashfasgfuyasrsakjgfyasugfaskyfgasuydgfasygdfffkjhasjhdfjhjhdsjasfhjdaljkshdfkjhdkjahsfdkjhlsjakhfdkjhsfkjhlasjkhfdljkhaskhfdlajkshfalsalhfaslhfsahf
(lkjfsahg,1)
(aajgfjgdfj,1)
(akyutersdfbvdmfbgakja,1)
(shfasg,1)
(fuyasrsakjgfyasu,1)
(gfasky,1)
(fgasuydgfasygdfffkjh,1)
(asjhdfjhj,1)
(hdsjasfhjdalj,1)
(kshdfk,1)
(jhdkjahsfdk,1)
(jhlsj,1)
(akhfdkjhsfkjh,1)
(lasjkhf,1)
(dljkhaskhfdla,1)
(jkshf,1)
(alsalhfa,1)
(slhfsahf,1)
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaabbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb
(a,1)
(aa,1)
(ab,111111111111111111)
(ab,111)
(b,1)
(bb,1)
