7
abbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbba
(b,1)
(bb,11)
(bbb,111)
(bbbb,1111)
(bbbbb,11111)
(bbbbbb,111111)
(bbbbbbb,1111111)
(bbbbbbbb,11111111)
(bbbbbbbbb,111111111)
(bbbbbbbbbb,1111111111)
(bbbbbbbbbbb,1111111111)
(bbbbbbbbbbbb,111111111111)
(bbbbbbbbbbbbb,1111111111111)
(bbbbbbbbbbbbbb,11111111111111)
(bbbbbbbbbbbbbbb,111111111111111)
(bbbbbbbbbbbbbbbb,1111111111111111)
(bbbbbbbbbbbbbbbbb,11111111111111111)
(b,1)
(bb,11)
(bbb,111)
(bbbb,1111)
(bbbbb,11111)
(bbbbbb,111111)
(bbbbbbb,1111111)
(bbbbbbbb,11111111)
(bbbbbbbbb,111111111)
(bbbbbbbbbb,1111111111)
(bbbbbbbbbbb,1111111111)
(bbbbbbbbbbbb,111111111111)
(bbbbbbbbbbbbb,1111111111111)
(bbbbbbbbbbbbbb,11111111111111)
(bbbbbbbbbbbbbbb,111111111111111)
(bbbbbbbbbbbbbbbb,1111111111111111)
(bbbbbbbbbbbbbbbbb,11111111111111111)
(b,1)
(bb,11)
(bbb,111)
(bbbb,1111)
(bbbbb,11111)
(bbbbbb,111111)
(bbbbbbb,1111111)
(bbbbbbbb,11111111)
(bbbbbbbbb,111111111)
(bbbbbbbbbb,1111111111)
(bbbbbbbbbbb,1111111111)
(bbbbbbbbbbbb,111111111111)
(bbbbbbbbbbbbb,1111111111111)
(bbbbbbbbbbbbbb,11111111111111)
(bbbbbbbbbbbbbbb,111111111111111)
(bbbbbbbbbbbbbbbb,1111111111111111)
(bbbbbbbbbbbbbbbbb,11111111111111111)
(ba,10)
(bba,101)
(bbba,1011)
(bbbba,10111)
(bbbbba,101111)
(bbbbbba,1011111)
(bbbbbbba,10111111)
(bbbbbbbba,101111111)
(bbbbbbbbba,1011111111)
(bbbbbbbbbba,10111111111)
(bbbbbbbbbbba,101111111111)
(bbbbbbbbbbbba,1011111111111)
(bbbbbbbbbbbbba,10111111111111)
(bbbbbbbbbbbbbba,101111111111111)
(bbbbbbbbbbbbbbba,1011111111111111)
(bbbbbbbbbbbbbbbba,10111111111111111)
(bbbbbbbbbbbbbbbbba,101111111111111111)
(ab,10)
(abb,101)
(abbb,1011)
(abbbb,10111)
(abbbbb,101111)
(abbbbbb,1011111)
(abbbbbbb,10111111)
(abbbbbbbb,101111111)
(abbbbbbbbb,1011111111)
(abbbbbbbbbb,10111111111)
(abbbbbbbbbbb,101111111111)
(abbbbbbbbbbbb,1011111111111)
(abbbbbbbbbbbbb,10111111111111)
(abbbbbbbbbbbbbb,101111111111111)
(abbbbbbbbbbbbbbb,1011111111111111)
(abbbbbbbbbbbbbbbb,10111111111111111)
(abbbbbbbbbbbbbbbbb,101111111111111111)
lkjfsahgaajgfjgdfjakyutersdfbvdmfbgakjashfasgfuyasrsakjgfyasugfaskyfgasuydgfasygdfffkjhasjhdfjhjhdsjasfhjdaljkshdfkjhdkjahsfdkjhlsjakhfdkjhsfkjhlasjkhfdljkhaskhfdlajkshfalsalhfaslhfsahf
(lkjfsahg,1)
(aajgfjgdfj,1)
(akyutersdfbvdmfbgakja,1)
(shfasg,1)
(fuyasrsakjgfyasu,1)
(gfasky,1)
(fgasuydgfasygdfffkjh,1)
(asjhdfjhj,1)
(hdsjasfhjdalj,1)
(kshdfk,1)
(jhdkjahsfdk,1)
(jhlsj,1)
(akhfdkjhsfkjh,1)
(lasjkhf,1)
(dljkhaskhfdla,1)
(jkshf,1)
(alsalhfa,1)
(slhfsahf,1)
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaabbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb
(a,1)
(aa,1)
(ab,111111111111111111)
(ab,111)
(b,1)
(bb,1)
aaaaaaaaaaaaaaaaaaaaaaaaabccccccccccccccccccccccccccdeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee
(a,1)
(aa,11)
(aaa,111)
(aabcc,11111111111111111111111111111111)
(abc,1111)
(abc,111)
(c,1)
(cc,11)
(aaabccc,11111111111111111111111111111111111111)
(cde,1)
(ccdee,111111111111111111111111111111)
(e,1)
(ee,11)
(eee,111)
(eeee,1111)
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
(a,111111111111)
(aa,11111111111111111)
(aaaaaaaaaa,111111)
(aaaaaaaaaaaa,1111111)
wwwwwwwwwwwcccccccccccccccccccccccc
(wwwwwwwwwwwwwwww,11111111)
(cccccccc,000000000000)
(wcwcwcwcwcwcw,0000000)
(cwcw,00)
(ccccccwwwwwwwwwwwwww,0000000000)
abcdefghijklmnopqrstuvwxyz
(abcde,111111111111111111111)
(fghijklmnopqrstuvwxyz,11111)
(ab,1)
(abc,111)
(abcd,1111)
(cd,1)
(d,11)
(efghijklmnopqrstuvwxyz,100000000000000000000000000000000001)
